path,category,loc,size_kb,exports,last_commit,author,has_tests,has_todos
"client/src/components/shared/index.ts",Component,16,0,"",2025-12-02,muski4real,no,no
"client/src/components/shared/privacy/PrivacyManager.tsx",Component,73,2,"PrivacyManager",2025-12-04,muski4real,no,no
"client/src/components/shell/AppShell.tsx",Component,355,11,"AppShell",2025-12-04,muski4real,no,no
"client/src/components/shell/index.ts",Component,24,1,"AppShell, NavigationBar, AppRouter, ProtectedRoute, 
  AdminRoute, 
  ModeratorRoute, 
  VerifiedUserRoute, 
  AuthenticatedRoute,
  createProtectedRoute, SkipLinks, 
  SkipLink, 
  useSkipLinkTargets, 
  withSkipLinks",2025-11-12,muski4real,no,no
"client/src/components/system/HealthCheck.tsx",Component,116,3,"HealthCheck",2025-12-04,muski4real,no,no
"client/src/components/transparency/ConflictAnalysisDashboard.tsx",Component,563,22,"",2025-12-04,muski4real,no,no
"client/src/components/transparency/ConflictNetworkVisualization.tsx",Component,545,19,"",2025-12-04,muski4real,no,no
"client/src/components/ui/ErrorMessage.tsx",Component,40,1,"ErrorMessage",2025-12-04,muski4real,no,no
"client/src/components/ui/OptimizedImage.tsx",Component,308,8,"OptimizedImageProps, OptimizedImage, OptimizedAvatarProps, OptimizedAvatar, OptimizedCardImageProps",2025-12-04,muski4real,no,no
"client/src/components/ui/command.tsx",Component,156,5,"Command,
  CommandDialog,
  CommandInput,
  CommandList,
  CommandEmpty,
  CommandGroup,
  CommandItem,
  CommandShortcut,
  CommandSeparator,",2025-12-04,muski4real,no,no
"client/src/components/ui/components.tsx",Component,397,11,"EnhancedTabs, EnhancedTooltip, EnhancedAvatar, EnhancedProgress, EnhancedBadge",2025-12-04,muski4real,no,no
"client/src/components/ui/context-menu.tsx",Component,200,7,"ContextMenu,
  ContextMenuTrigger,
  ContextMenuContent,
  ContextMenuItem,
  ContextMenuCheckboxItem,
  ContextMenuRadioItem,
  ContextMenuLabel,
  ContextMenuSeparator,
  ContextMenuShortcut,
  ContextMenuGroup,
  ContextMenuPortal,
  ContextMenuSub,
  ContextMenuSubContent,
  ContextMenuSubTrigger,
  ContextMenuRadioGroup,",2025-12-04,muski4real,no,no
"client/src/components/ui/form-demo.tsx",Component,558,19,"FormDemo",2025-12-04,muski4real,no,no
"client/src/components/ui/hybrid-components.tsx",Component,412,10,"HybridButtonExample, StatusCardExample, ValidatedInputExample, ProgressCardExample, AutoDismissAlertExample",2025-12-04,muski4real,no,no
"client/src/components/ui/implementation-summary.tsx",Component,355,13,"ImplementationSummary",2025-12-04,muski4real,no,no
